FIPS,county,state,number,Geographic Area,County,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,FIPS_Code,State,Area_name,Unemployment_rate_2000,Unemployment_rate_2001,Unemployment_rate_2002,Unemployment_rate_2003,Unemployment_rate_2004,Unemployment_rate_2005,Unemployment_rate_2006,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_rate_2017,Unemployment_rate_2018,Unemployment_rate_2019,Unemployment_rate_2020,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019
12133,Washington,FL,FL-515,".Washington County, Florida",Washington,"24,720","24,510","24,741","24,504","24,299","24,552","24,454","24,546","24,793","25,473",12133.0,FL,"Washington County, FL",4.6,5.5,5.6,4.7,3.8,2.9,2.5,3.3,5.9,9.3,10.2,10.0,9.1,8.0,6.9,6.0,5.2,4.4,3.9,3.6,5.8,"42,518",71.8
13001,Appling,GA,GA-501,".Appling County, Georgia",Appling,"18,334","18,459","18,385","18,370","18,472","18,423","18,428","18,438","18,526","18,386",13001.0,GA,"Appling County, GA",5.4,6.9,8.1,7.1,6.7,6.4,6.0,5.7,7.6,10.6,12.0,12.2,11.0,10.7,8.9,7.4,6.5,5.5,4.4,4.0,4.7,"43,821",70.7
13003,Atkinson,GA,GA-501,".Atkinson County, Georgia",Atkinson,"8,364","8,360","8,255","8,264","8,215","8,340","8,244","8,182","8,262","8,165",13003.0,GA,"Atkinson County, GA",5.3,6.2,6.2,6.4,8.3,5.8,5.8,6.2,9.0,15.6,15.4,12.7,11.4,9.3,7.6,5.8,5.3,4.5,3.6,3.2,3.9,"38,581",62.3
13005,Bacon,GA,GA-501,".Bacon County, Georgia",Bacon,"11,062","11,145","11,150","11,173","11,178","11,231","11,275","11,205","11,132","11,164",13005.0,GA,"Bacon County, GA",4.5,5.5,6.6,5.7,5.7,5.7,4.9,5.2,6.8,9.9,10.8,10.4,9.6,8.4,7.0,5.8,5.3,4.5,3.8,3.7,4.9,"41,807",67.5
13007,Baker,GA,GA-501,".Baker County, Georgia",Baker,"3,431","3,311","3,372","3,348","3,288","3,194","3,183","3,159","3,086","3,038",13007.0,GA,"Baker County, GA",4.3,4.9,5.3,5.2,4.8,5.6,5.4,5.4,6.9,9.7,12.4,11.5,10.9,10.5,9.1,7.4,7.8,6.3,5.3,4.7,6.0,"39,515",63.8
13009,Baldwin,GA,GA-501,".Baldwin County, Georgia",Baldwin,"45,704","45,175","46,510","46,178","45,910","45,549","45,259","44,963","44,893","44,890",13009.0,GA,"Baldwin County, GA",4.8,4.5,5.2,5.0,5.1,5.9,5.8,6.0,8.5,13.0,15.6,13.6,11.4,10.1,8.8,7.8,6.9,5.9,5.0,4.3,6.9,"44,429",71.7
13011,Banks,GA,GA-501,".Banks County, Georgia",Banks,"18,410","18,249","18,131","18,221","18,226","18,381","18,325","18,628","18,972","19,234",13011.0,GA,"Banks County, GA",3.0,3.6,4.5,4.1,3.8,4.2,3.5,3.3,4.9,8.0,9.8,9.2,8.1,7.8,6.7,5.7,4.9,3.9,3.2,2.8,4.3,"53,481",86.3
13013,Barrow,GA,GA-500,".Barrow County, Georgia",Barrow,"69,676","69,844","70,135","71,239","72,849","74,979","77,000","78,899","80,834","83,240",13013.0,GA,"Barrow County, GA",3.0,4.0,5.1,5.1,4.8,5.1,4.6,4.5,6.8,11.1,10.9,9.9,8.5,7.3,6.3,5.4,4.8,4.1,3.3,2.9,5.1,"68,924",111.3
13015,Bartow,GA,GA-500,".Bartow County, Georgia",Bartow,"100,050","100,116","100,240","100,917","101,233","102,043","103,338","105,098","106,378","107,738",13015.0,GA,"Bartow County, GA",3.7,4.4,5.9,5.6,5.7,6.1,5.3,5.3,7.7,12.7,12.3,11.4,9.8,8.6,7.2,6.0,5.2,4.7,3.9,3.4,6.2,"60,254",97.3
13017,Ben Hill,GA,GA-501,".Ben Hill County, Georgia",Ben Hill,"17,645","17,591","17,601","17,450","17,449","17,357","17,251","17,037","16,822","16,700",13017.0,GA,"Ben Hill County, GA",4.8,5.2,6.0,7.1,5.2,6.0,6.1,7.4,11.7,16.3,16.1,15.5,13.7,12.4,10.0,9.2,8.3,7.8,6.0,5.6,6.9,"35,931",58.0
13019,Berrien,GA,GA-501,".Berrien County, Georgia",Berrien,"19,361","19,378","19,160","19,059","18,813","18,991","18,996","19,108","19,266","19,397",13019.0,GA,"Berrien County, GA",4.0,4.2,4.4,3.7,4.0,4.5,4.5,4.7,7.5,13.7,13.2,12.4,10.1,9.5,8.6,7.3,6.2,5.2,4.2,4.1,5.8,"42,058",67.9
13021,Bibb,GA,GA-501,".Bibb County, Georgia",Bibb,"155,814","156,211","156,606","155,031","154,329","153,945","153,152","152,840","152,903","153,159",13021.0,GA,"Bibb County, GA",4.3,4.5,5.3,5.2,5.4,6.1,6.1,5.7,7.0,10.2,11.8,11.4,10.4,9.2,8.1,6.8,6.0,5.4,4.6,4.0,7.5,"43,066",69.5
13023,Bleckley,GA,GA-501,".Bleckley County, Georgia",Bleckley,"13,036","13,082","12,890","12,744","12,713","12,714","12,864","12,764","12,821","12,873",13023.0,GA,"Bleckley County, GA",4.2,5.3,6.0,5.3,6.4,8.0,6.3,5.7,7.9,10.4,12.6,13.2,12.4,13.9,11.3,8.7,8.0,6.8,5.9,5.2,6.5,"48,115",77.7
13025,Brantley,GA,GA-501,".Brantley County, Georgia",Brantley,"18,479","18,561","18,532","18,257","18,366","18,437","18,415","18,832","18,985","19,109",13025.0,GA,"Brantley County, GA",4.2,4.8,5.8,5.8,5.4,5.8,5.1,4.9,6.9,11.4,12.9,13.1,11.9,10.6,9.3,7.6,6.8,5.8,4.6,4.2,5.4,"44,680",72.1
13027,Brooks,GA,GA-501,".Brooks County, Georgia",Brooks,"16,246","15,982","15,617","15,649","15,526","15,670","15,725","15,617","15,479","15,457",13027.0,GA,"Brooks County, GA",4.6,4.8,4.9,3.6,3.8,4.6,4.4,4.7,6.2,9.0,9.7,9.9,9.0,8.3,7.2,6.2,5.3,4.6,4.0,3.5,5.2,"39,554",63.8
13029,Bryan,GA,GA-501,".Bryan County, Georgia",Bryan,"30,377","31,267","32,251","33,034","33,664","34,792","35,839","36,999","38,059","39,627",13029.0,GA,"Bryan County, GA",3.1,3.1,3.9,3.8,3.8,4.2,3.8,3.7,5.3,8.2,9.7,9.3,8.2,7.4,6.5,5.3,4.9,4.2,3.4,3.0,5.3,"79,296",128.0
13031,Bulloch,GA,GA-501,".Bulloch County, Georgia",Bulloch,"70,559","72,637","73,102","71,816","72,651","73,116","74,642","75,991","77,242","79,608",13031.0,GA,"Bulloch County, GA",3.8,4.4,4.6,4.5,4.9,5.0,4.6,4.7,6.6,9.9,10.2,10.4,9.6,8.6,7.4,6.2,5.8,5.1,4.3,3.9,6.5,"48,788",78.8
13033,Burke,GA,GA-501,".Burke County, Georgia",Burke,"23,336","23,506","23,048","22,824","22,621","22,632","22,601","22,545","22,439","22,383",13033.0,GA,"Burke County, GA",5.0,6.2,7.2,8.8,7.3,8.1,7.2,8.4,9.4,12.4,12.3,12.6,12.2,11.9,10.1,8.3,7.8,7.2,6.2,5.3,7.2,"42,632",68.8
13035,Butts,GA,GA-500,".Butts County, Georgia",Butts,"23,786","23,609","23,438","23,218","23,341","23,520","23,736","24,067","24,192","24,936",13035.0,GA,"Butts County, GA",4.6,4.5,5.9,5.6,6.0,6.5,5.8,5.6,8.1,12.6,11.6,11.3,10.1,9.2,7.5,6.8,5.7,4.9,4.1,3.4,6.2,"47,410",76.5
13037,Calhoun,GA,GA-501,".Calhoun County, Georgia",Calhoun,"6,697","6,625","6,565","6,596","6,506","6,534","6,359","6,389","6,353","6,189",13037.0,GA,"Calhoun County, GA",6.5,6.6,7.4,6.9,6.3,7.6,6.5,7.2,8.7,11.8,8.9,8.3,7.7,8.1,7.0,6.3,5.7,5.3,4.3,3.7,5.1,"34,960",56.4
13039,Camden,GA,GA-501,".Camden County, Georgia",Camden,"50,661","50,303","51,351","51,404","51,909","52,439","52,394","53,005","53,651","54,666",13039.0,GA,"Camden County, GA",3.6,3.8,4.7,5.7,4.8,5.0,4.4,4.4,6.1,9.4,10.1,9.5,8.5,7.7,6.6,5.6,5.8,5.1,4.3,3.7,4.7,"58,552",94.5
13043,Candler,GA,GA-501,".Candler County, Georgia",Candler,"11,025","11,209","11,102","10,960","10,865","10,873","10,849","10,706","10,827","10,803",13043.0,GA,"Candler County, GA",4.6,4.8,4.9,4.7,5.0,5.1,4.5,4.8,6.8,9.7,8.9,9.5,8.5,8.1,6.9,5.8,4.9,4.1,3.5,3.0,4.4,"41,665",67.3
13045,Carroll,GA,GA-500,".Carroll County, Georgia",Carroll,"110,655","110,728","111,412","112,265","113,933","114,461","116,077","117,390","117,997","119,992",13045.0,GA,"Carroll County, GA",3.7,4.8,5.6,5.5,5.3,5.9,5.3,5.2,7.3,11.5,11.9,11.3,10.1,9.6,8.2,6.8,6.1,5.1,4.1,3.6,6.4,"59,193",95.5
13047,Catoosa,GA,GA-501,".Catoosa County, Georgia",Catoosa,"64,069","64,753","64,864","65,221","65,467","65,778","66,265","66,495","67,380","67,580",13047.0,GA,"Catoosa County, GA",2.7,3.0,3.6,3.5,3.8,4.7,4.2,3.9,5.5,8.9,8.7,8.1,7.4,6.7,6.2,5.3,4.9,4.2,3.5,3.1,4.3,"60,753",98.1
13049,Charlton,GA,GA-501,".Charlton County, Georgia",Charlton,"12,853","13,455","13,348","13,107","13,051","13,239","12,842","12,810","12,919","13,392",13049.0,GA,"Charlton County, GA",4.1,4.3,5.2,5.7,5.3,5.7,4.9,5.2,7.3,11.5,10.7,10.5,9.2,8.4,7.4,6.5,5.7,5.1,4.4,3.9,3.8,"42,891",69.2
13051,Chatham,GA,GA-507,".Chatham County, Georgia",Chatham,"265,799","271,623","276,164","277,650","282,201","285,959","288,615","289,309","289,166","289,430",13051.0,GA,"Chatham County, GA",3.6,3.6,4.6,4.6,4.6,4.9,4.4,4.3,6.1,9.1,10.0,10.0,9.1,8.2,7.3,6.0,5.3,4.5,3.8,3.4,7.6,"57,122",92.2
13053,Chattahoochee,GA,GA-501,".Chattahoochee County, Georgia",Chattahoochee,"11,182","11,257","12,265","12,245","11,696","11,042","10,047","10,205","10,600","10,907",13053.0,GA,"Chattahoochee County, GA",8.1,7.6,9.2,8.7,9.6,11.3,10.4,10.2,13.1,15.5,11.1,11.4,11.5,10.9,9.7,8.9,8.4,6.9,5.6,4.6,6.2,"46,106",74.4
13055,Chattooga,GA,GA-501,".Chattooga County, Georgia",Chattooga,"25,959","25,685","25,627","25,049","24,861","24,905","24,836","24,746","24,782","24,789",13055.0,GA,"Chattooga County, GA",3.7,4.9,4.4,4.7,5.4,5.8,5.4,6.4,10.6,13.9,11.8,10.9,10.1,8.9,7.6,6.3,6.4,4.8,4.1,5.1,8.4,"41,561",67.1
13057,Cherokee,GA,GA-500,".Cherokee County, Georgia",Cherokee,"215,197","217,732","220,643","224,314","230,167","235,329","241,795","247,763","253,914","258,773",13057.0,GA,"Cherokee County, GA",2.6,2.9,4.3,4.4,4.1,4.5,4.0,3.9,5.7,9.3,8.9,8.1,7.0,6.1,5.5,4.8,4.3,3.8,3.2,2.8,4.9,"88,635",143.1
13059,Clarke,GA,GA-503,".Clarke County, Georgia",Clarke,"117,403","118,229","119,891","120,888","120,386","123,561","124,905","126,815","127,268","128,331",13059.0,GA,"Clarke County, GA",3.4,3.8,4.2,4.0,4.4,4.8,4.6,4.2,5.5,8.0,9.4,9.2,8.6,7.8,7.0,6.2,5.6,4.8,4.0,3.7,6.4,"41,036",66.2
13061,Clay,GA,GA-501,".Clay County, Georgia",Clay,"3,177","3,162","3,106","3,015","3,072","3,077","3,005","2,955","2,884","2,834",13061.0,GA,"Clay County, GA",5.5,5.9,5.0,4.7,5.7,5.8,4.7,6.0,7.9,9.0,11.8,12.1,12.3,11.3,11.4,12.0,10.5,9.1,7.6,7.0,12.4,"24,732",39.9
13063,Clayton,GA,GA-500,".Clayton County, Georgia",Clayton,"259,877","262,031","265,294","264,015","266,629","272,720","279,333","284,184","289,197","292,256",13063.0,GA,"Clayton County, GA",3.3,4.1,6.2,6.3,6.3,7.3,6.3,6.2,8.2,12.3,13.7,13.3,11.9,10.7,9.3,7.8,6.7,5.9,5.0,4.4,10.3,"50,737",81.9
13065,Clinch,GA,GA-501,".Clinch County, Georgia",Clinch,"6,764","6,718","6,690","6,758","6,781","6,826","6,742","6,643","6,603","6,618",13065.0,GA,"Clinch County, GA",5.3,7.3,6.1,6.2,6.3,6.6,5.4,5.8,7.8,11.6,11.2,10.9,9.6,9.1,8.4,7.1,6.2,5.6,4.6,3.8,4.0,"42,928",69.3
13067,Cobb,GA,GA-506,".Cobb County, Georgia",Cobb,"689,495","696,507","706,322","716,017","727,543","739,052","748,178","752,649","756,070","760,141",13067.0,GA,"Cobb County, GA",2.8,3.4,4.9,4.7,4.7,5.2,4.6,4.4,6.1,9.6,9.4,8.8,7.6,6.6,5.9,5.2,4.7,4.1,3.5,3.1,5.9,"79,622",128.5
13069,Coffee,GA,GA-501,".Coffee County, Georgia",Coffee,"42,728","42,996","43,124","43,078","42,884","42,987","42,908","42,880","43,055","43,273",13069.0,GA,"Coffee County, GA",4.6,5.5,5.7,7.4,6.5,6.2,5.8,6.4,8.9,16.1,16.0,12.8,11.2,9.9,8.2,6.8,5.9,5.1,4.6,4.0,5.8,"41,675",67.3
13071,Colquitt,GA,GA-501,".Colquitt County, Georgia",Colquitt,"45,634","45,772","46,013","46,126","45,864","45,466","45,429","45,480","45,455","45,600",13071.0,GA,"Colquitt County, GA",4.6,5.7,5.5,5.6,5.2,5.5,4.6,4.9,6.5,9.6,9.8,9.4,8.6,8.7,8.1,6.5,5.3,4.6,3.8,3.2,4.5,"41,899",67.6
13073,Columbia,GA,GA-501,".Columbia County, Georgia",Columbia,"124,955","128,804","132,541","136,141","139,104","143,837","147,370","151,529","154,077","156,714",13073.0,GA,"Columbia County, GA",2.9,3.1,3.9,3.8,4.1,4.9,4.4,4.1,5.2,7.3,7.4,7.3,6.9,6.4,5.8,5.1,4.7,4.2,3.5,3.1,4.2,"88,285",142.5
13075,Cook,GA,GA-501,".Cook County, Georgia",Cook,"17,185","17,033","16,904","17,051","17,297","17,070","17,162","17,213","17,171","17,270",13075.0,GA,"Cook County, GA",4.5,5.0,5.0,5.6,5.7,6.4,5.8,6.1,8.4,13.4,11.8,11.1,9.3,8.5,8.1,6.8,5.5,4.6,3.8,3.4,4.7,"40,670",65.6
13077,Coweta,GA,GA-500,".Coweta County, Georgia",Coweta,"127,937","129,374","130,593","132,944","135,140","138,145","140,497","143,153","145,998","148,509",13077.0,GA,"Coweta County, GA",3.3,3.5,4.7,4.8,4.4,5.2,4.5,4.3,6.2,10.3,9.8,9.0,7.9,6.9,6.2,5.4,5.0,4.2,3.5,3.0,6.2,"79,232",127.9
13079,Crawford,GA,GA-501,".Crawford County, Georgia",Crawford,"12,587","12,585","12,579","12,483","12,401","12,354","12,268","12,263","12,334","12,404",13079.0,GA,"Crawford County, GA",4.0,4.3,5.1,5.1,5.2,6.3,5.5,5.1,6.5,10.5,11.7,10.7,9.7,8.8,7.5,6.4,6.0,5.0,4.2,3.7,5.0,"50,411",81.4
13081,Crisp,GA,GA-501,".Crisp County, Georgia",Crisp,"23,433","23,753","23,589","23,298","23,061","22,959","22,905","22,710","22,617","22,372",13081.0,GA,"Crisp County, GA",4.6,5.4,6.3,6.1,5.8,7.0,6.3,6.3,8.3,12.8,14.4,13.8,12.3,11.1,8.9,7.0,6.1,5.2,4.9,3.9,7.9,"40,482",65.3
13083,Dade,GA,GA-501,".Dade County, Georgia",Dade,"16,630","16,600","16,518","16,453","16,289","16,162","16,224","16,254","16,227","16,116",13083.0,GA,"Dade County, GA",3.0,3.6,4.9,4.6,4.4,5.1,4.5,4.6,6.1,11.0,8.8,7.9,7.5,7.1,6.3,5.6,5.1,4.4,3.7,3.4,4.1,"45,986",74.2
13085,Dawson,GA,GA-500,".Dawson County, Georgia",Dawson,"22,328","22,340","22,513","22,732","23,022","23,369","23,668","24,406","25,127","26,108",13085.0,GA,"Dawson County, GA",2.7,3.2,4.8,4.2,4.2,4.6,4.1,4.0,6.4,10.5,11.0,10.1,8.4,7.3,6.1,5.2,4.7,3.9,3.4,2.9,4.7,"69,155",111.6
13087,Decatur,GA,GA-501,".Decatur County, Georgia",Decatur,"27,817","27,651","27,442","27,391","27,167","27,049","26,679","26,706","26,573","26,404",13087.0,GA,"Decatur County, GA",4.5,5.5,6.4,6.1,7.1,6.6,6.2,6.5,8.3,13.2,12.6,11.9,10.0,9.4,8.2,6.9,6.7,5.6,4.7,3.8,4.8,"40,473",65.3
13089,De Kalb,GA,GA-508,".DeKalb County, Georgia",DeKalb,"692,443","698,329","710,557","717,740","724,892","734,434","746,802","751,176","754,906","759,297",13089.0,GA,"DeKalb County, GA",3.3,4.1,6.0,5.8,5.9,6.5,5.5,5.2,6.9,10.5,11.0,10.4,9.3,8.4,7.3,6.1,5.5,4.9,4.1,3.6,8.0,"63,606",102.7
13091,Dodge,GA,GA-501,".Dodge County, Georgia",Dodge,"21,761","21,614","21,517","21,429","21,173","21,142","20,854","20,749","20,793","20,605",13091.0,GA,"Dodge County, GA",4.7,5.4,6.0,5.7,5.4,6.2,5.3,5.4,7.3,11.3,13.2,12.2,11.4,11.3,9.8,8.5,7.4,6.3,5.3,5.5,6.0,"41,118",66.4
13093,Dooly,GA,GA-501,".Dooly County, Georgia",Dooly,"14,854","14,612","14,415","14,372","14,246","14,034","13,853","13,691","13,709","13,390",13093.0,GA,"Dooly County, GA",4.8,5.4,6.1,6.4,6.4,6.7,6.0,5.7,7.3,10.4,11.7,12.9,11.3,11.4,9.6,7.7,5.9,5.1,4.7,3.8,7.7,"37,109",59.9
13095,Dougherty,GA,GA-501,".Dougherty County, Georgia",Dougherty,"94,513","95,063","94,694","93,411","92,742","91,513","90,389","89,457","89,200","87,956",13095.0,GA,"Dougherty County, GA",5.2,5.6,6.5,6.1,6.4,6.7,6.5,6.1,7.5,11.0,12.7,12.1,11.1,10.3,9.3,7.9,6.9,6.1,5.5,4.7,8.6,"36,894",59.6
13097,Douglas,GA,GA-500,".Douglas County, Georgia",Douglas,"132,573","133,106","133,555","136,024","138,007","140,173","141,664","143,376","145,024","146,343",13097.0,GA,"Douglas County, GA",2.9,3.3,5.0,5.1,5.2,6.0,5.4,5.1,7.0,11.3,11.4,10.8,9.5,8.5,7.4,6.5,5.6,4.9,4.2,3.7,7.4,"62,915",101.6
13099,Early,GA,GA-501,".Early County, Georgia",Early,"10,983","10,790","10,640","10,540","10,450","10,462","10,306","10,317","10,286","10,190",13099.0,GA,"Early County, GA",5.0,4.9,5.7,6.1,5.4,5.9,5.4,6.1,7.2,11.0,11.9,11.4,10.0,9.1,9.0,7.1,7.0,5.5,4.7,4.0,5.8,"40,011",64.6
13101,Echols,GA,GA-501,".Echols County, Georgia",Echols,"4,015","4,064","3,967","3,993","4,032","4,030","3,956","3,914","4,000","4,006",13101.0,GA,"Echols County, GA",3.4,3.8,3.6,3.3,3.3,3.6,3.3,3.3,4.7,7.6,8.3,8.0,7.3,6.3,5.9,4.8,4.4,4.0,3.2,2.8,3.9,"40,408",65.2
13103,Effingham,GA,GA-501,".Effingham County, Georgia",Effingham,"52,464","52,692","53,330","54,419","55,410","57,076","58,699","60,086","62,228","64,296",13103.0,GA,"Effingham County, GA",3.1,3.2,4.1,4.2,4.0,4.2,3.7,3.6,5.2,8.6,9.7,9.2,8.2,7.1,6.2,5.2,4.9,4.1,3.3,2.9,5.0,"71,628",115.6
13105,Elbert,GA,GA-501,".Elbert County, Georgia",Elbert,"20,100","19,820","19,576","19,490","19,387","19,302","19,136","19,102","19,095","19,194",13105.0,GA,"Elbert County, GA",5.2,5.7,6.2,6.1,6.0,7.3,6.9,6.2,9.0,12.8,15.0,16.0,12.4,10.8,8.7,7.6,6.6,5.3,4.9,4.0,6.9,"40,962",66.1
13107,Emanuel,GA,GA-501,".Emanuel County, Georgia",Emanuel,"22,607","22,492","22,732","22,631","22,482","22,471","22,406","22,533","22,607","22,646",13107.0,GA,"Emanuel County, GA",5.6,6.1,5.8,5.3,5.6,5.9,5.5,5.6,8.0,11.2,13.0,13.2,12.2,12.5,10.5,8.9,7.8,6.8,6.0,5.4,7.1,"38,529",62.2
13109,Evans,GA,GA-501,".Evans County, Georgia",Evans,"11,021","10,980","10,678","10,794","10,811","10,690","10,648","10,741","10,702","10,654",13109.0,GA,"Evans County, GA",4.3,4.1,4.9,4.5,4.4,5.5,4.8,4.7,6.8,9.2,9.2,9.1,8.4,7.6,6.5,5.7,5.0,4.4,3.7,3.4,5.1,"41,425",66.9
13111,Fannin,GA,GA-501,".Fannin County, Georgia",Fannin,"23,685","23,648","23,615","23,831","23,863","24,442","25,032","25,332","25,981","26,188",13111.0,GA,"Fannin County, GA",3.9,4.5,5.7,6.8,5.3,5.5,4.3,4.1,6.8,11.0,11.8,11.2,10.1,8.9,7.6,6.3,5.4,4.8,4.0,3.4,4.7,"47,980",77.4
13113,Fayette,GA,GA-500,".Fayette County, Georgia",Fayette,"106,938","107,156","107,315","108,054","109,199","110,141","111,218","112,553","113,181","114,421",13113.0,GA,"Fayette County, GA",2.6,2.9,3.8,3.9,4.0,4.9,4.3,4.2,5.7,8.8,8.4,7.9,7.4,6.7,6.1,5.3,4.8,4.1,3.6,3.1,5.4,"94,563",152.6
13115,Floyd,GA,GA-501,".Floyd County, Georgia",Floyd,"96,431","96,161","95,940","95,880","95,868","96,186","96,698","97,500","97,964","98,498",13115.0,GA,"Floyd County, GA",3.8,4.5,5.3,5.0,5.1,5.5,4.8,5.1,7.0,11.1,12.0,12.0,10.8,9.4,7.9,6.8,6.1,5.3,4.4,4.0,6.3,"50,520",81.5
13117,Forsyth,GA,GA-500,".Forsyth County, Georgia",Forsyth,"176,723","181,794","186,793","193,801","202,598","211,250","220,481","228,940","236,993","244,252",13117.0,GA,"Forsyth County, GA",2.4,2.9,4.3,4.0,3.7,4.1,3.6,3.6,5.2,8.6,8.1,7.3,6.5,5.8,5.3,4.6,4.2,3.8,3.2,2.8,4.6,"113,332",182.9
13119,Franklin,GA,GA-501,".Franklin County, Georgia",Franklin,"22,074","21,972","21,916","22,045","22,175","22,267","22,316","22,864","23,034","23,349",13119.0,GA,"Franklin County, GA",3.9,5.4,5.7,5.7,5.4,6.1,5.4,5.3,7.6,12.4,12.9,12.0,11.1,9.7,8.2,6.4,5.3,4.8,3.9,3.6,5.9,"47,691",77.0
13121,Fulton,GA,GA-502,".Fulton County, Georgia",Fulton,"925,632","947,469","973,221","981,472","991,847","1,005,127","1,022,866","1,038,938","1,050,131","1,063,937",13121.0,GA,"Fulton County, GA",3.4,4.2,6.0,5.7,5.5,6.2,5.4,5.2,7.0,10.6,10.6,10.1,9.0,8.0,7.1,6.1,5.5,4.9,4.1,3.6,8.0,"79,235",127.9
13123,Gilmer,GA,GA-501,".Gilmer County, Georgia",Gilmer,"28,339","28,325","28,288","28,717","28,994","29,514","29,911","30,443","30,835","31,369",13123.0,GA,"Gilmer County, GA",3.3,3.6,4.6,4.6,4.5,5.1,3.9,3.9,6.3,10.9,11.4,11.7,10.4,8.9,7.3,6.1,5.8,5.1,4.3,3.6,4.7,"57,007",92.0
13125,Glascock,GA,GA-501,".Glascock County, Georgia",Glascock,"3,079","3,103","3,107","3,060","3,008","3,020","2,978","3,032","2,977","2,971",13125.0,GA,"Glascock County, GA",4.1,4.5,5.7,5.3,5.2,7.0,5.5,5.5,7.4,12.0,11.2,10.6,9.6,9.4,8.1,6.7,6.1,5.0,4.2,3.8,4.1,"49,350",79.7
13127,Glynn,GA,GA-501,".Glynn County, Georgia",Glynn,"79,744","80,111","80,866","81,497","82,177","83,311","84,099","84,675","84,975","85,292",13127.0,GA,"Glynn County, GA",3.5,3.7,4.3,4.3,4.4,4.8,4.2,3.9,5.5,8.9,10.1,10.3,9.3,8.5,7.5,6.2,5.4,4.8,3.8,3.5,6.8,"58,017",93.7
13129,Gordon,GA,GA-501,".Gordon County, Georgia",Gordon,"55,257","55,520","55,687","55,761","55,836","56,324","56,933","57,164","57,628","57,963",13129.0,GA,"Gordon County, GA",3.3,5.3,5.4,5.0,4.8,5.2,4.7,5.1,8.0,13.6,12.9,11.6,9.6,8.8,7.3,6.0,5.7,4.7,3.9,3.5,5.5,"53,373",86.2
13131,Grady,GA,GA-501,".Grady County, Georgia",Grady,"25,021","25,097","25,270","25,101","25,215","25,089","24,869","24,773","24,774","24,633",13131.0,GA,"Grady County, GA",4.4,4.3,4.5,4.8,4.8,5.0,4.3,4.4,6.5,10.2,10.6,9.5,8.5,7.7,7.4,6.1,5.5,4.9,3.9,3.4,4.4,"42,603",68.8
13133,Greene,GA,GA-501,".Greene County, Georgia",Greene,"15,976","16,050","16,118","16,243","16,418","16,617","16,869","17,203","17,733","18,324",13133.0,GA,"Greene County, GA",4.4,6.9,9.7,6.8,6.6,7.7,6.2,5.8,7.3,11.9,13.3,12.2,10.9,9.9,8.2,6.7,6.1,5.2,4.3,3.9,5.9,"60,973",98.4
13135,Gwinnett,GA,GA-500,".Gwinnett County, Georgia",Gwinnett,"808,007","822,415","836,844","853,459","870,986","888,494","904,962","918,186","927,337","936,250",13135.0,GA,"Gwinnett County, GA",2.7,3.4,4.9,4.7,4.5,5.1,4.5,4.3,6.1,9.4,9.4,8.6,7.6,6.8,6.1,5.3,4.8,4.3,3.6,3.1,6.3,"72,225",116.6
13137,Habersham,GA,GA-501,".Habersham County, Georgia",Habersham,"43,061","43,043","43,377","43,154","43,564","43,792","44,104","44,535","45,373","45,328",13137.0,GA,"Habersham County, GA",3.5,4.4,4.5,4.3,4.1,4.7,4.3,4.3,6.2,10.5,10.8,10.4,9.4,8.0,7.0,5.8,5.4,4.6,3.8,3.5,5.4,"51,296",82.8
13139,Hall,GA,GA-501,".Hall County, Georgia",Hall,"180,033","182,269","184,102","186,431","189,142","192,245","196,159","198,953","201,538","204,441",13139.0,GA,"Hall County, GA",2.9,3.5,4.5,4.3,4.3,4.8,4.1,3.9,5.9,9.8,9.8,8.8,7.7,6.8,5.9,4.9,4.6,3.9,3.3,2.9,4.7,"66,698",107.7
13141,Hancock,GA,GA-501,".Hancock County, Georgia",Hancock,"9,433","9,395","9,079","8,952","8,571","8,578","8,633","8,539","8,368","8,457",13141.0,GA,"Hancock County, GA",7.8,9.5,9.0,7.9,7.2,8.7,9.1,9.1,14.0,20.4,23.2,19.6,16.8,14.6,11.7,10.0,8.5,7.2,6.1,5.7,8.8,"31,715",51.2
13143,Haralson,GA,GA-500,".Haralson County, Georgia",Haralson,"28,758","28,465","28,310","28,335","28,487","28,702","28,830","29,248","29,561","29,792",13143.0,GA,"Haralson County, GA",3.5,4.5,5.0,5.2,5.5,5.8,5.1,5.1,7.1,12.6,12.4,11.5,10.1,9.2,8.0,6.7,5.9,4.8,3.9,3.4,5.9,"49,020",79.1
13145,Harris,GA,GA-501,".Harris County, Georgia",Harris,"32,149","32,307","32,570","32,532","32,737","33,155","33,633","33,943","34,560","35,236",13145.0,GA,"Harris County, GA",3.1,3.5,3.9,3.9,4.4,4.5,4.1,3.9,5.1,7.6,7.8,7.3,7.1,6.5,6.0,5.3,4.9,4.2,3.5,3.1,4.6,"74,052",119.5
